date,mcx_silver
2025-02-23,97252.0
2025-03-02,103981.0
2025-03-09,106357.0
2025-03-16,105912.0
2025-03-23,106478.0
2025-03-30,107047.0
2025-04-06,106624.0
2025-04-13,107276.0
2025-04-20,110253.0
2025-04-27,111312.0
2025-05-04,113288.0
2025-05-11,114327.0
2025-05-18,109416.0
2025-05-25,113215.0
2025-06-01,113583.0
2025-06-08,114810.0
2025-06-15,113735.0
2025-06-22,115723.0
2025-06-29,122818.0
2025-07-06,123238.0
2025-07-13,128024.0
2025-07-20,125427.0
2025-07-27,132681.0
2025-08-03,138079.0
2025-08-10,145111.0
2025-08-17,152814.0
2025-08-24,170902.0
2025-08-31,170695.0
2025-09-07,158644.0
2025-09-14,146995.0
2025-09-21,148717.0
2025-09-28,148346.0
2025-10-05,159939.0
2025-10-12,158061.0
2025-10-19,153227.0
2025-10-26,164052.0
2025-11-02,178236.0
2025-11-09,185082.0
2025-11-16,193201.0
2025-11-23,200144.0
2025-11-30,228948.0
2025-12-07,229452.0
2025-12-14,238274.0
2025-12-21,242189.0
2025-12-28,262087.0
2026-01-04,307804.0
2026-01-11,316357.0
2026-01-18,333292.0
2026-01-25,251152.0
2026-02-01,259773.00000000003
2026-02-08,241318.0
2026-02-15,250110.0
