date,High,Low
2023-05-05,68904.14462708206,66445.15729976504
2023-05-08,67644.91712604009,67423.99378163982
2023-05-09,67832.17469157028,67119.95543786026
2023-05-10,68473.16921817984,66878.3189612373
2023-05-11,66547.70630397677,63789.7305853962
2023-05-12,63958.577805427616,62822.597341831664
2023-05-15,63877.49551548047,63282.12105876763
2023-05-16,63504.60056384222,62743.338044141565
2023-05-17,63083.50809397678,62461.01543923165
2023-05-18,62615.51907980108,62071.15196039031
2023-05-19,63652.862638236526,63573.128628830804
2023-05-22,63154.09721217403,63047.573000007236
2023-05-23,62908.74276230259,61630.86850072819
2023-05-24,62407.49633181722,61304.47036991152
2023-05-25,61145.41492121511,60616.0254287358
2023-05-26,61695.85394251222,61364.01307251367
2023-05-29,61740.684909646705,61408.60290922874
2023-05-30,62151.79723890815,60981.62937430754
2023-05-31,62716.87892643569,62051.941700721545
2023-06-01,63260.70940569388,63260.70940569388
2023-06-02,63081.74335872753,62560.470912154
2023-06-05,62557.68360477237,62557.68360477237
2023-06-06,62609.968519326554,62609.968519326554
2023-06-07,62206.20780564746,62206.20780564746
2023-06-08,64414.2167846144,62439.10369566434
2023-06-09,64665.433139915396,64516.96046426978
2023-06-12,64361.67151355309,63566.59420363641
2023-06-13,62917.675912271945,62917.675912271945
2023-06-14,63470.71950637351,63470.71950637351
2023-06-15,63124.51974039477,63124.51974039477
2023-06-16,63424.607118290165,63424.607118290165
2023-06-19,63428.47742230959,63428.47742230959
2023-06-20,61232.69865631545,61232.69865631545
2023-06-21,60066.07307117534,60066.07307117534
2023-06-22,59114.157272516204,59114.157272516204
2023-06-23,58888.8907614669,58888.8907614669
2023-06-26,60272.03228886556,60153.33443301827
2023-06-27,60499.41163879636,60499.41163879636
2023-06-28,60330.53876586867,60322.623457762915
2023-06-29,60428.15418986332,58832.0345747294
2023-06-30,60164.68745272761,58938.18199455375
2023-07-03,60617.1206687201,59826.63639935153
2023-07-04,60666.97155185016,59875.83719652413
2023-07-05,61634.476535188856,60590.271264429335
2023-07-06,61648.183680792565,60178.60411156573
2023-07-07,61477.943816677034,60812.886025753185
2023-07-10,61463.22855431762,60425.17179417725
2023-07-11,61715.7108568671,61135.760973781755
2023-07-12,63779.2001745614,61190.37625345628
2023-07-13,65477.10366454285,64118.21619385468
2023-07-14,66082.60726235765,65517.2548847964
2023-07-17,65741.09699102033,65530.05033261212
2023-07-18,66197.87680783376,65841.83185226689
2023-07-19,66645.19266320509,66104.11308255827
2023-07-20,66642.12452941547,65389.94756289554
2023-07-21,65080.00607160699,65080.00607160699
2023-07-24,64287.57613210261,64287.57613210261
2023-07-25,65108.95357342448,64608.82276098755
2023-07-26,65443.62973804299,64863.66285034377
2023-07-27,63848.05070172876,63848.05070172876
2023-07-28,64448.81325356151,64038.89901622969
2023-07-31,65726.87809187263,64023.805124645034
2023-08-01,65005.2033926809,63960.570147081686
2023-08-02,64124.23339802172,63072.75551164596
2023-08-03,62799.481810571706,62320.704783949026
2023-08-04,62922.92989534939,62257.07878534569
2023-08-07,62452.70127367229,61375.24072041625
2023-08-08,61158.65980160548,60498.201943084656
2023-08-09,60312.49195125062,60312.49195125062
2023-08-10,60489.508061166234,60489.508061166234
2023-08-11,60388.20924023805,60388.20924023805
2023-08-14,60392.97652412821,59755.55265358168
2023-08-15,60262.29099745436,59888.90377838621
2023-08-16,60422.31845164299,59955.57934078848
2023-08-17,61365.46361844325,60416.44547136978
2023-08-18,60639.32302274664,60639.32302274664
2023-08-21,62269.37518339883,60882.58033078014
2023-08-22,62446.581906452295,62246.601493527975
2023-08-23,64763.19859540099,64763.19859540099
2023-08-24,64541.25680064484,64278.42169019392
2023-08-25,64362.66154115503,63990.62464654858
2023-08-28,64390.082346568044,64390.082346568044
2023-08-29,65882.67623693115,65882.67623693115
2023-08-30,66655.3203278542,65352.00458960592
2023-08-31,65741.46199495048,65076.06260259914
